year,repo_rate,gdp_growth,cpi_inflation,real_rate
2005,6.25,7.92,4.25,2.0
2006,6.5,8.06,5.8,0.7000000000000002
2007,7.25,7.66,6.37,0.8799999999999999
2008,8.5,3.09,8.35,0.15000000000000036
2009,4.75,7.86,10.88,-6.130000000000001
2010,6.25,8.5,11.99,-5.74
2011,8.5,5.24,8.91,-0.41000000000000014
2012,8.0,5.46,9.48,-1.4800000000000004
2013,7.75,6.39,10.02,-2.2699999999999996
2014,8.0,7.41,6.67,1.33
2015,6.75,8.0,4.91,1.8399999999999999
2016,6.25,8.26,4.95,1.2999999999999998
2017,6.0,6.8,3.33,2.67
2018,6.5,6.45,3.94,2.56
2019,5.15,3.87,3.73,1.4200000000000004
2020,4.0,-5.78,6.62,-2.62
2021,4.0,9.69,5.13,-1.13
2022,6.25,7.61,6.7,-0.4500000000000002
2023,6.5,9.19,5.65,0.8499999999999996
2024,6.25,6.49,4.95,1.2999999999999998
